id;label;timeset;hashtag;modularity_class;eigencentrality;freq;centrality
0;#makeamericagreatagain;;#makeamericagreatagain;61;1.0;70.0;0.108079550328
1;#nationalvoterregistrationday;;#nationalvoterregistrationday;0;0.0;214.559.418.534;0.00483980203954
2;#maga;;#maga;2;0.013408785463324514;22.0;0.0148819770794
3;#imwithyou;;#imwithyou;2;0.013408785463324514;12.0;0.0122955912479
4;#trumpwon;;#trumpwon;1;0.0;524.729.332.739;0.000471177718102
5;#americafirst;;#americafirst;2;0.018866452099830518;17.0;0.0242791971165
6;#debates2016;;#debates2016;3;0.00267181078865859;851.208.667.465;0.0146150335449
7;#debatenight;;#debatenight;3;0.00267181078865859;398.247.587.177;0.0133236884025
8;#trumppence16;;#trumppence16;6;0.009542915754011743;653.379.634.856;0.0170007630916
9;#slipping;;#slipping;4;0.0;441.495.424.094;0.0125080876282
10;#imwithher;;#imwithher;5;0.00267181078865859;405.533.220.484;0.0150283648027
11;#cripthevote;;#cripthevote;5;0.00267181078865859;39.366.854.978;0.00785450214214
12;#jimmyfallon;;#jimmyfallon;6;0.009542915754011743;124.754.635.958;0.0196841517582
13;#thetonightshow;;#thetonightshow;6;0.009542915754011743;450.226.349.658;0.0192039310763
14;#fallontonight;;#fallontonight;7;0.0;5.485.480.203;0.00699949130973
15;#americafirsthttps;;#americafirsthttps;8;0.0;628.926.759.817;0.00426948747352
16;#magatickets;;#magatickets;9;0.0;217.104.683.708;0.00835005925499
17;#trumptrain;;#trumptrain;37;0.5290761677065958;14.0;0.0358479431073
18;#magahttps;;#magahttps;37;0.12886984082820555;398.335.419.207;0.0134788377341
19;#americafirstvideo;;#americafirstvideo;10;0.0;204.839.211.888;0.0057544476774
20;#imwithyouhttps;;#imwithyouhttps;11;0.0;610.316.266.514;0.00531599550048
21;#juangabriel;;#juangabriel;12;0.00267181078865859;243.533.292.869;0.00854298925574
22;#divodejuarez;;#divodejuarez;12;0.00267181078865859;187.168.600.846;0.0112751759124
23;#neverhillary;;#neverhillary;20;0.013829484390516147;460.211.205.912;0.0252490289508
24;#hillary2016;;#hillary2016;13;0.0;441.420.535.411;0.00910837637643
25;#blacksfortrump;;#blacksfortrump;14;0.0;509.984.455.105;0.0146905237241
26;#buildthewall;;#buildthewall;15;0.0;162.094.751.977;0.00942668363318
27;#alwaystrump;;#alwaystrump;16;0.0;492.995.609.707;0.00184627308775
28;#imwithyouvideo;;#imwithyouvideo;17;0.0;308.560.748.073;0.00187554610119
29;#imwithyoutranscript;;#imwithyoutranscript;18;0.0;226.419.753.769;0.00362598390888
30;#usa;;#usa;19;0.0;397.457.568.421;0.00230794084486
31;#2a;;#2a;20;0.011405770740358569;641.076.530.012;0.0197633405677
32;#defendthesecond;;#defendthesecond;20;0.011405770740358569;348.972.903.019;0.0192354128499
33;#scotus;;#scotus;20;0.006225491896959816;537.397.652.059;0.0127008826454
34;#smallbiz;;#smallbiz;21;0.0;427.627.606.968;0.00351720074662
35;#openingceremony;;#openingceremony;22;0.00267181078865859;451.415.556.272;0.00821546198575
36;#rio2016;;#rio2016;22;0.00267181078865859;530.162.605.856;0.00839294648611
37;#msm;;#msm;23;0.0;240.588.790.622;0.00236837077887
38;#lesm;;#lesm;24;0.0;332.825.151.993;0.0057894525587
39;#demsinphilly;;#demsinphilly;25;0.0;49.496.040.539;0.00263450022311
40;#pulse;;#pulse;26;0.0;586.108.360.968;0.0066193715686
41;#dncinphl;;#dncinphl;27;0.0;49.690.586.278;0.00503253190057
42;#demsinphillyhttps;;#demsinphillyhttps;28;0.0;129.486.146.607;0.00583671474608
43;#lovetrumpshate;;#lovetrumpshate;29;0.0;48.088.023.845;0.0059779085802
44;#trumpiswithyou;;#trumpiswithyou;61;0.14817219621035813;584.179.818.307;0.0154802003203
45;#standtogether;;#standtogether;30;0.0;193.506.076.748;0.0026348061136
46;#trumppence2016;;#trumppence2016;31;0.0;445.389.895.448;0.00831050183583
47;#rncincle;;#rncincle;2;0.007802393445853205;855.431.958.042;0.0083693892585
48;#gopconvention;;#gopconvention;2;0.007802393445853205;591.035.894.248;0.0124458066623
49;#rncinclehttps;;#rncinclehttps;32;0.0;241.598.766.667;0.00874445016915
50;#citizensunited;;#citizensunited;33;0.0;128.348.507.187;0.00919095643739
51;#feelthebern;;#feelthebern;34;0.0;106.377.211.445;0.00365795392098
52;#stopthehate;;#stopthehate;35;0.0;442.882.345.604;0.00370577984923
53;#srebrenica;;#srebrenica;36;0.0;577.941.380.309;0.00167573257138
54;#trump2016;;#trump2016;37;0.8538823593741368;95.0;0.110986660898
55;#leadright2016;;#leadright2016;38;0.0;173.875.663.986;0.00740119395148
56;#wcs16;;#wcs16;39;0.0;510.836.533.697;0.00711146275814
57;#clinton;;#clinton;40;0.0;456.312.968.913;0.00359899288991
58;#sitin;;#sitin;41;0.03387956356918391;66.362.625.749;0.0268780930324
59;#aslongasittakes;;#aslongasittakes;41;0.030774382202385358;253.598.001.756;0.0215935557568
60;#nobillnobreak;;#nobillnobreak;41;0.030774382202385358;254.011.914.784;0.0215216461563
61;#nomoresilence;;#nomoresilence;41;0.03387956356918391;434.579.425.016;0.0333786317183
62;#endgunviolence;;#endgunviolence;41;0.010639336047125988;543.809.798.153;0.00877279652028
63;#holdthefloor;;#holdthefloor;41;0.010639336047125988;160.730.486.083;0.00963094532837
64;#veterans;;#veterans;42;0.0;305.142.543.958;0.00972764213721
65;#enough;;#enough;43;0.00267181078865859;391.882.435.304;0.0114731131211
66;#filibuster;;#filibuster;43;0.00267181078865859;265.192.363.642;0.0145506475228
67;#elkhart;;#elkhart;61;0.14817219621035813;280.056.998.976;0.0105351254568
68;#caprimary;;#caprimary;44;0.0;292.994.660.197;0.00323272256161
69;#trump2016tickets;;#trump2016tickets;45;0.0;263.958.939.258;0.0036620645243
70;#ca4trump;;#ca4trump;46;0.00267181078865859;517.246.880.027;0.0125498205394
71;#neverdems;;#neverdems;46;0.00267181078865859;173.547.535.587;0.0119778699872
72;#trump2016https;;#trump2016https;61;0.387365350475681;29.0;0.0181264213965
73;#mothersofthemovement;;#mothersofthemovement;47;0.00267181078865859;415.188.423.834;0.00786981188235
74;#changeagents;;#changeagents;47;0.00267181078865859;531.735.151.613;0.00977534074211
75;#orprimary;;#orprimary;48;0.0;444.832.900.218;0.00400736412275
76;#statehood;;#statehood;49;0.0;319.140.952.056;0.00468601567677
77;#trumpforpresident;;#trumpforpresident;37;0.12886984082820555;319.330.278.378;0.0137235160533
78;#jenniferrubin;;#jenniferrubin;50;0.00267181078865859;145.769.751.489;0.01079773351
79;#gop;;#gop;50;0.00267181078865859;346.382.680.304;0.00757093458216
80;#votetrump;;#votetrump;37;0.13402427392619976;12.0;0.0126244271981
81;#votetrumphttps;;#votetrumphttps;37;0.12886984082820555;698.578.734.732;0.0113417264485
82;#inprimary;;#inprimary;61;0.14817219621035813;450.199.184.638;0.00893776884182
83;#deprimary;;#deprimary;51;0.025331557952191084;188.669.990.052;0.0255692090847
84;#mdprimary;;#mdprimary;51;0.025331557952191084;323.525.759.652;0.0244765837651
85;#paprimary;;#paprimary;51;0.025331557952191084;159.675.419.564;0.0223805103716
86;#riprimaryhttps;;#riprimaryhttps;51;0.025331557952191084;256.321.245.113;0.0195226562667
87;#trumptrainhttps;;#trumptrainhttps;61;0.29634439242071625;522.936.589.553;0.00812067880528
88;#hillaryclinton;;#hillaryclinton;52;0.0;342.903.191.667;0.00800109807067
89;#hillaryongma;;#hillaryongma;53;0.0;355.373.188.037;0.00984410658893
90;#makeamericagreatagainhttps;;#makeamericagreatagainhttps;54;0.0;394.539.686.081;0.00201551330076
91;#nyprimary;;#nyprimary;37;0.02162863820498931;286.487.435.949;0.0139578382619
92;#votetrumpny;;#votetrumpny;37;0.15298110134253046;696.047.333.769;0.0171783362404
93;#primaryday;;#primaryday;37;0.15298110134253046;512.747.327.784;0.018360100306
94;#makeamericagreatagaintickets;;#makeamericagreatagaintickets;55;0.0;369.298.321.983;0.00861194421167
95;#presidenttrump;;#presidenttrump;56;0.00267181078865859;173.584.514.619;0.0155274985074
96;#primary;;#primary;56;0.00267181078865859;357.153.533.229;0.0124800809843
97;#trumptraintickets;;#trumptraintickets;57;0.0;537.716.959.219;0.000930908962127
98;#newyorkvalues;;#newyorkvalues;88;0.00267181078865859;483.258.679.421;0.0108930979202
99;#nyprimarytickets;;#nyprimarytickets;58;0.0;431.454.030.246;0.00899062623445
100;#wiprimaryhttps;;#wiprimaryhttps;59;0.0;596.378.814.126;0.00616800816141
101;#wiprimary;;#wiprimary;37;0.1638240535984676;51.867.816.686;0.0323812568936
102;#wausau;;#wausau;37;0.27621968931967794;534.366.704.346;0.0307180217552
103;#eauclaire;;#eauclaire;37;0.27621968931967794;577.095.193.094;0.0237908840502
104;#nevercruz;;#nevercruz;60;0.0;32.000.216.434;0.00940636722023
105;#westerntuesday;;#westerntuesday;37;0.07934361283474466;438.808.709.907;0.0121118052391
106;#utcaucus;;#utcaucus;61;0.29972379255244924;271.487.422.394;0.0399523298331
107;#azprimary;;#azprimary;61;0.611962858392754;749.973.161.548;0.0428062989301
108;#arizonaprimary;;#arizonaprimary;61;0.19095873649275505;388.393.439.224;0.0306374202052
109;#utahcaucus;;#utahcaucus;61;0.1515515963420913;348.927.214.689;0.0317745511036
110;#americansamoa;;#americansamoa;61;0.19095873649275505;56.731.405.231;0.0243501968041
111;#utah;;#utah;62;0.025331557952191084;462.256.996.208;0.0256883616625
112;#mormon;;#mormon;62;0.025331557952191084;424.671.603.505;0.0179786395419
113;#utahprimary;;#utahprimary;62;0.025331557952191084;516.931.015.249;0.0246265886659
114;#utah4trump;;#utah4trump;62;0.025331557952191084;542.798.200.884;0.0208740471561
115;#trump;;#trump;61;0.1749554884549879;587.106.101.463;0.0145904380642
116;#ut;;#ut;63;0.0;215.249.123.642;0.00528523774516
117;#supertuesday;;#supertuesday;61;0.42521423324892177;12.0;0.0198990227655
118;#trump2016video;;#trump2016video;64;0.0;312.220.073.657;0.00489798529121
119;#mahalo;;#mahalo;65;0.0;122.350.072.768;0.00333039769462
120;#supersaturday;;#supersaturday;66;0.0;561.150.644.655;0.00906189873264
121;#neilcavuto;;#neilcavuto;67;0.00267181078865859;389.623.063.635;0.00768144004386
122;#fox;;#fox;67;0.00267181078865859;214.804.573.624;0.00786655438438
123;#politician;;#politician;68;0.0;382.901.916.897;0.000940489757925
124;#nevadacaucus;;#nevadacaucus;69;0.0;491.838.391.945;0.00807590748245
125;#votetrumpnv;;#votetrumpnv;70;0.0;493.828.159.429;0.00420606314708
126;#votetrumpnvhttps;;#votetrumpnvhttps;71;0.0;31.455.210.568;0.00304889242931
127;#trumpnv;;#trumpnv;72;0.0;502.507.895.268;0.00669771032966
