hashtag_id;hashtag
0;#makeamericagreatagain
1;#nationalvoterregistrationday
2;#maga
3;#imwithyou
4;#trumpwon
5;#americafirst
6;#debates2016
7;#debatenight
8;#trumppence16
9;#slipping
10;#imwithher
11;#cripthevote
12;#jimmyfallon
13;#thetonightshow
14;#fallontonight
15;#americafirsthttps
16;#magatickets
17;#trumptrain
18;#magahttps
19;#americafirstvideo
20;#imwithyouhttps
21;#juangabriel
22;#divodejuarez
23;#neverhillary
24;#hillary2016
25;#blacksfortrump
26;#buildthewall
27;#alwaystrump
28;#imwithyouvideo
29;#imwithyoutranscript
30;#usa
31;#2a
32;#defendthesecond
33;#scotus
34;#smallbiz
35;#openingceremony
36;#rio2016
37;#msm
38;#lesm
39;#demsinphilly
40;#pulse
41;#dncinphl
42;#demsinphillyhttps
43;#lovetrumpshate
44;#trumpiswithyou
45;#standtogether
46;#trumppence2016
47;#rncincle
48;#gopconvention
49;#rncinclehttps
50;#citizensunited
51;#feelthebern
52;#stopthehate
53;#srebrenica
54;#trump2016
55;#leadright2016
56;#wcs16
57;#clinton
58;#sitin
59;#aslongasittakes
60;#nobillnobreak
61;#nomoresilence
62;#endgunviolence
63;#holdthefloor
64;#veterans
65;#enough
66;#filibuster
67;#elkhart
68;#caprimary
69;#trump2016tickets
70;#ca4trump
71;#neverdems
72;#trump2016https
73;#mothersofthemovement
74;#changeagents
75;#orprimary
76;#statehood
77;#trumpforpresident
78;#jenniferrubin
79;#gop
80;#votetrump
81;#votetrumphttps
82;#inprimary
83;#deprimary
84;#mdprimary
85;#paprimary
86;#riprimaryhttps
87;#trumptrainhttps
88;#hillaryclinton
89;#hillaryongma
90;#makeamericagreatagainhttps
91;#nyprimary
92;#votetrumpny
93;#primaryday
94;#makeamericagreatagaintickets
95;#presidenttrump
96;#primary
97;#trumptraintickets
98;#newyorkvalues
99;#nyprimarytickets
100;#wiprimaryhttps
101;#wiprimary
102;#wausau
103;#eauclaire
104;#nevercruz
105;#westerntuesday
106;#utcaucus
107;#azprimary
108;#arizonaprimary
109;#utahcaucus
110;#americansamoa
111;#utah
112;#mormon
113;#utahprimary
114;#utah4trump
115;#trump
116;#ut
117;#supertuesday
118;#trump2016video
119;#mahalo
120;#supersaturday
121;#neilcavuto
122;#fox
123;#politician
124;#nevadacaucus
125;#votetrumpnv
126;#votetrumpnvhttps
127;#trumpnv
128;#icymi
129;#trump2016caucus
130;#votetrumpsc
131;#votetrumpschttps
132;#lssc
133;#maitnerstrong
134;#ford
135;#carrier
136;#jobs
137;#mexico
138;#scprimary
139;#nhprimaryhttps
140;#nhprimary
141;#votetrumpnh
142;#fitn
143;#superbowlsunday
144;#sb50
145;#votetrumpnhhttps
146;#nhpolitics
147;#votersspeak
148;#iacaucus
149;#caucusfortrumphttps
150;#caucusfortrump
151;#gopdebate
152;#foxnews
153;#rogerailes
154;#jonas
155;#wewanttrump
156;#rnc
157;#commonlaw
158;#naturalborn
159;#tedcruz
160;#cruz
161;#laurencetribe
162;#trump2016unifying
163;#trump2016life
164;#economy
165;#2016
166;#iowacaucus
167;#iapolitics
168;#bush
169;#wh
